Rk,Player,M_serve,M_W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M_return,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M_more,DR,Points,TPW%,TBs,TB_W%,TB/S,Sets,S_W%,Gms,G_W%,Sec/Pt,Nationality,Sec_Set,Time_Mt_sec
190,Stefano Travaglia,67,0.537,0.604,0.597,266,0.059000000000000004,127,0.027999999999999997,0.066,0.5760000000000001,0.68,0.499,0.535,0.722,6.3,2.5,67,0.413,0.40700000000000003,0.045,0.042,0.345,0.524,0.304,6.5,2.7,222.0,247.2,67,0.435,222,510,0.7,3.2,7.6,1.41,3.3,0.552,245,444,0.62,2.8,6.6,1.27,3.0,67,1.04,9295,0.506,15,0.467,0.096,157,0.529,1447,0.511,46.8,ITA,2772.0,108.0
195,Carlos Taberner,54,0.519,0.5820000000000001,0.598,68,0.017,149,0.037000000000000005,0.10800000000000001,0.6609999999999999,0.635,0.48,0.5379999999999999,0.688,6.6,2.8,54,0.434,0.43200000000000005,0.043,0.036000000000000004,0.353,0.557,0.34700000000000003,6.6,2.9,252.5,287.3,54,0.455,213,468,0.76,3.6,8.7,1.64,3.9,0.581,265,456,0.75,3.5,8.4,1.47,3.5,54,1.04,8089,0.508,14,0.35700000000000004,0.10800000000000001,130,0.523,1225,0.518,51.2,ESP,3186.0,128.0
197,Brandon Holt,52,0.5770000000000001,0.615,0.6,217,0.06,53,0.015,0.040999999999999995,0.644,0.684,0.49200000000000005,0.513,0.764,6.6,2.5,52,0.409,0.41,0.067,0.044000000000000004,0.342,0.503,0.284,6.6,2.7,260.0,318.9,52,0.433,161,372,0.66,3.2,7.2,1.36,3.1,0.607,201,331,0.6,2.8,6.4,1.1,2.5,52,1.06,7350,0.51,19,0.632,0.161,118,0.5589999999999999,1117,0.521,42.6,USA,2652.0,100.0
200,Bernard Tomic,49,0.531,0.623,0.613,282,0.076,119,0.032,0.07400000000000001,0.565,0.7190000000000001,0.498,0.5379999999999999,0.765,6.5,2.4,49,0.359,0.359,0.08800000000000001,0.05,0.276,0.49,0.21,6.4,2.3,259.5,297.8,49,0.425,119,280,0.49,2.4,5.7,1.01,2.4,0.5920000000000001,196,331,0.58,2.8,6.8,1.14,2.8,49,0.95,7328,0.493,26,0.615,0.22,118,0.517,1143,0.489,39.8,AUS,2472.0,99.0
207,Andrea Collarini,48,0.625,0.615,0.635,67,0.021,134,0.043,0.14,0.693,0.6559999999999999,0.523,0.608,0.748,6.3,2.4,48,0.426,0.41600000000000004,0.035,0.040999999999999995,0.35100000000000003,0.542,0.32899999999999996,6.5,2.8,324.0,329.2,48,0.44299999999999995,164,370,0.74,3.4,7.7,1.5,3.4,0.5720000000000001,166,290,0.59,2.7,6.0,1.14,2.6,48,1.11,6382,0.518,6,0.667,0.055,109,0.596,991,0.5379999999999999,49.3,ARG,2886.0,109.0
208,Oriol Roca Batalla,50,0.5,0.621,0.626,140,0.038,116,0.031,0.08,0.61,0.682,0.525,0.57,0.767,6.5,2.5,50,0.385,0.37799999999999995,0.045,0.039,0.326,0.48700000000000004,0.242,6.5,2.5,247.5,247.2,50,0.392,136,347,0.62,2.9,6.9,1.13,2.7,0.614,212,345,0.61,2.9,6.9,1.11,2.7,50,1.02,7376,0.504,18,0.556,0.15,120,0.525,1133,0.506,48.3,ESP,2970.0,119.0
210,Adrian Andreev,53,0.491,0.607,0.602,135,0.036000000000000004,58,0.016,0.045,0.653,0.657,0.514,0.5379999999999999,0.75,6.6,2.6,53,0.38799999999999996,0.389,0.052000000000000005,0.032,0.321,0.505,0.255,6.5,2.5,257.0,291.1,53,0.39899999999999997,147,368,0.64,3.0,6.9,1.19,2.8,0.603,214,355,0.63,2.9,6.7,1.14,2.7,53,0.99,7501,0.49700000000000005,14,0.5,0.113,124,0.49200000000000005,1140,0.499,48.3,BUL,2922.0,114.0
212,Javier Barranco Cosano,45,0.556,0.595,0.609,70,0.023,119,0.038,0.107,0.643,0.644,0.506,0.5670000000000001,0.7140000000000001,6.6,2.7,45,0.41700000000000004,0.41100000000000003,0.042,0.038,0.342,0.531,0.314,6.6,2.8,224.0,232.4,45,0.467,149,319,0.67,3.0,7.1,1.42,3.3,0.5920000000000001,196,331,0.7,3.2,7.4,1.29,3.0,45,1.03,6263,0.505,14,0.429,0.133,105,0.552,947,0.513,47.9,ESP,2856.0,111.0
218,Santiago Fa Rodriguez Taverna,62,0.5,0.601,0.606,217,0.044000000000000004,183,0.037000000000000005,0.091,0.589,0.674,0.495,0.545,0.7340000000000001,6.7,2.7,62,0.371,0.359,0.039,0.04,0.313,0.474,0.221,6.5,2.4,283.0,322.7,62,0.389,163,419,0.57,2.8,6.8,1.08,2.6,0.586,278,474,0.64,3.1,7.6,1.3,3.2,62,0.93,9709,0.48700000000000004,24,0.45799999999999996,0.159,151,0.46399999999999997,1476,0.47700000000000004,44.8,ARG,2886.0,117.0
220,Antoine Escoffier,44,0.455,0.603,0.605,220,0.07200000000000001,157,0.051,0.121,0.58,0.6970000000000001,0.473,0.539,0.72,6.5,2.6,44,0.40399999999999997,0.41100000000000003,0.075,0.040999999999999995,0.32899999999999996,0.518,0.29,6.5,2.6,292.0,335.5,44,0.43799999999999994,140,320,0.66,3.0,7.3,1.33,3.2,0.58,182,314,0.67,3.0,7.1,1.26,3.0,44,1.02,6203,0.502,14,0.429,0.133,105,0.47600000000000003,954,0.503,43.7,FRA,2580.0,103.0
