Rk,Player,M_serve,M_W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M_return,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M_more,DR,Points,TPW%,TBs,TB_W%,TB/S,Sets,S_W%,Gms,G_W%,Sec/Pt,Nationality,Sec_Set,Time_Mt_sec
37,Matteo Arnaldi,55,0.545,0.617,0.608,398,0.08199999999999999,185,0.038,0.08900000000000001,0.569,0.708,0.49700000000000005,0.545,0.775,6.7,2.6,55,0.37200000000000005,0.375,0.051,0.027000000000000003,0.306,0.484,0.228,6.6,2.4,49.0,66.2,55,0.401,162,404,0.57,2.8,7.3,1.12,2.9,0.621,266,428,0.59,3.0,7.8,1.12,2.9,55,0.97,9498,0.49700000000000005,32,0.563,0.221,145,0.5379999999999999,1432,0.503,38.2,ITA,2502.0,110.0
38,Brandon Nakashima,46,0.565,0.682,0.652,405,0.115,55,0.016,0.046,0.659,0.745,0.561,0.588,0.8809999999999999,6.3,2.0,46,0.341,0.348,0.094,0.039,0.26,0.47100000000000003,0.168,6.4,2.2,40.0,81.3,46,0.336,93,277,0.5,2.4,6.0,0.82,2.0,0.715,168,235,0.42,2.1,5.1,0.59,1.5,46,1.07,7068,0.511,27,0.444,0.237,114,0.561,1114,0.527,40.6,USA,2520.0,104.0
39,Pedro Martinez,37,0.45899999999999996,0.595,0.617,75,0.025,153,0.051,0.163,0.688,0.653,0.46799999999999997,0.5589999999999999,0.716,6.5,2.6,37,0.381,0.39799999999999996,0.09300000000000001,0.033,0.29600000000000004,0.519,0.226,6.5,2.5,58.0,79.5,37,0.385,104,270,0.59,2.8,7.3,1.08,2.8,0.56,167,298,0.65,3.1,8.1,1.36,3.5,37,0.94,6004,0.489,14,0.5710000000000001,0.146,96,0.43799999999999994,922,0.47200000000000003,43.0,ESP,2688.0,116.0
40,Jan Lennard Struff,50,0.6,0.665,0.657,490,0.113,206,0.048,0.114,0.583,0.7709999999999999,0.517,0.583,0.845,6.5,2.2,50,0.366,0.379,0.1,0.04,0.28,0.504,0.184,6.8,2.5,38.0,65.9,50,0.331,123,372,0.56,2.8,7.4,0.93,2.5,0.66,202,306,0.46,2.3,6.1,0.79,2.1,50,1.09,8871,0.512,44,0.636,0.33299999999999996,132,0.583,1339,0.514,36.3,GER,2442.0,107.0
41,Matteo Berrettini,38,0.737,0.7020000000000001,0.674,356,0.128,55,0.02,0.063,0.6859999999999999,0.7829999999999999,0.525,0.56,0.903,6.1,1.8,38,0.348,0.35200000000000004,0.057999999999999996,0.025,0.289,0.451,0.19699999999999998,6.4,2.2,63.0,79.8,38,0.39799999999999996,90,226,0.5,2.5,5.9,0.99,2.4,0.6940000000000001,100,144,0.32,1.6,3.8,0.48,1.2,38,1.17,5709,0.521,25,0.72,0.275,91,0.7140000000000001,910,0.5489999999999999,44.8,ITA,2814.0,112.0
42,Luciano Darderi,46,0.5,0.621,0.614,260,0.07,117,0.031,0.075,0.584,0.7020000000000001,0.509,0.551,0.777,6.7,2.5,46,0.373,0.38,0.081,0.038,0.293,0.507,0.223,6.5,2.4,51.0,67.3,46,0.389,123,316,0.57,2.7,6.9,1.07,2.7,0.622,206,331,0.59,2.9,7.2,1.09,2.7,46,0.98,7320,0.5,25,0.6,0.217,115,0.478,1112,0.502,40.7,ITA,2592.0,108.0
43,Alex Michelsen,56,0.48200000000000004,0.632,0.631,239,0.054000000000000006,133,0.03,0.094,0.68,0.6859999999999999,0.517,0.57,0.785,6.5,2.4,56,0.366,0.377,0.098,0.040999999999999995,0.27399999999999997,0.507,0.21899999999999997,6.3,2.3,68.0,119.3,56,0.413,148,358,0.53,2.4,6.4,1.0,2.6,0.606,228,376,0.55,2.5,6.7,1.0,2.6,56,0.99,8703,0.502,36,0.5,0.243,148,0.507,1364,0.504,42.9,USA,2520.0,111.0
44,Mariano Navone,39,0.462,0.58,0.584,91,0.03,84,0.027999999999999997,0.083,0.669,0.625,0.491,0.535,0.682,6.6,2.8,39,0.41,0.40399999999999997,0.034,0.033,0.355,0.512,0.301,6.6,2.7,67.0,121.0,39,0.447,140,313,0.67,3.2,8.0,1.41,3.6,0.568,192,338,0.74,3.4,8.7,1.47,3.7,39,0.98,6103,0.495,9,0.444,0.091,99,0.465,924,0.49,41.1,ARG,2538.0,107.0
45,Roberto Bautista Agut,48,0.542,0.627,0.627,143,0.037000000000000005,90,0.023,0.07200000000000001,0.679,0.675,0.524,0.565,0.782,6.5,2.4,48,0.37200000000000005,0.401,0.127,0.037000000000000005,0.271,0.536,0.212,6.4,2.4,53.5,61.4,48,0.402,125,311,0.53,2.5,6.5,1.02,2.6,0.61,203,333,0.56,2.7,6.9,1.06,2.7,48,1.0,7658,0.501,20,0.75,0.163,123,0.537,1186,0.499,44.1,ESP,2748.0,117.0
46,Zhizhen Zhang,52,0.48100000000000004,0.654,0.635,395,0.1,106,0.027000000000000003,0.07400000000000001,0.638,0.73,0.521,0.563,0.825,6.2,2.2,52,0.34,0.358,0.114,0.035,0.257,0.475,0.17300000000000001,6.2,2.1,52.5,118.7,52,0.39299999999999996,110,280,0.44,2.1,5.4,0.84,2.1,0.56,141,252,0.4,1.9,4.8,0.85,2.1,52,0.98,7907,0.49700000000000005,27,0.40700000000000003,0.20600000000000002,131,0.48100000000000004,1269,0.498,37.0,CHN,2232.0,94.0
